mesenchymal stem cell                              : 342 
embryonic stem cell                                : 186 
stem cells msc                                     : 105 
human embryonic stem                               : 66  
hematopoietic stem cell transplantation            : 63  
scanning electron microscopy                       : 59  
induced pluripotent stem                           : 58  
cancer stem cells                                  : 51  
cells bone marrow                                  : 48  
neural stem cells                                  : 47  
stromal cells msc                                  : 45  
play important role                                : 44  
human mesenchymal stem                             : 44  
optical coherence tomography                       : 44  
endothelial growth factor                          : 41  
bone marrow mesenchymal                            : 40  
vascular endothelial growth                        : 40  
central nervous system                             : 36  
stromal cells mmsc                                 : 35  
hemopoietic stem cells                             : 35  
human bone marrow                                  : 35  
umbilical cord blood                               : 35  
bone marrow stromal                                : 34  
green fluorescent protein                          : 32  
mouse embryonic stem                               : 32  
growth factor vegf                                 : 31  
colony stimulating factor                          : 30  
stem cells escs                                    : 30  
fibroblast growth factor                           : 29  
bone marrow stem                                   : 29  
polymerase chain reaction                          : 29  
reactive oxygen species                            : 29  
bone tissue engineering                            : 28  
graft versus host                                  : 28  
bone marrow derived                                : 26  
stem cell therapy                                  : 25  
allogeneic hematopoietic stem                      : 25  
coherence tomography oct                           : 25  
human adipose tissue                               : 25  
marrow stem cells                                  : 25  
selective laser sintering                          : 25  
stromal precursor cells                            : 25  
allogeneic hematopoietic stem cell                 : 25  
multipotent stromal cells                          : 24  
versus host disease                                : 23  
cell transplantation hsct                          : 23  
transplantation mesenchymal stem                   : 23  
stem cells human                                   : 22  
autologous hematopoietic stem                      : 22  
marrow mesenchymal stem                            : 22  
stromal stem cells                                 : 22  
cell transplantation allo                          : 21  
derived mesenchymal stem                           : 21  
autologous bone marrow                             : 21  
blood mononuclear cells                            : 20  
granulocyte colony stimulating                     : 20  
human umbilical cord                               : 20  
stem cell lines                                    : 20  
stem cells ipscs                                   : 20  
cells mesenchymal stem                             : 20  
pluripotent stem cells ipscs                       : 20  
subcutaneous adipose tissue                        : 19  
adult stem cells                                   : 19  
aim present work                                   : 19  
bone marrow peripheral                             : 19  
bone marrow transplantation                        : 19  
cell cycle arrest                                  : 19  
derived stem cells                                 : 19  
high dose chemotherapy                             : 19  
marrow stromal cells                               : 19  
stem cells derived                                 : 19  
stem cells transplantation                         : 19  
transplantation bone marrow                        : 19  
blood stem cells                                   : 18  
bone marrow multipotent                            : 18  
bone tissue regeneration                           : 18  
magnetic resonance imaging                         : 18  
marrow peripheral blood                            : 18  
tissue engineering applications                    : 18  
median age years                                   : 17  
